1245 clips in range 2026-08-18..2026-08-31; 1205 not yet repaired
  91 OK    music-edexcel/aos1-instrumental-music/L3: 80.09s -> 77.0s (card 3.1s, encode, vs card 28.6)
  92 OK    music-edexcel/aos1-instrumental-music/L3: 82.27s -> 79.2s (card 3.1s, encode, vs card 32.5)
  93 OK    music-edexcel/aos1-instrumental-music/L3: 78.62s -> 75.58s (card 3.1s, copy, vs card 35.6)
  94 OK    separate-sciences-ocr/physics-paper-1/L2: 72.93s -> 69.87s (card 3.1s, encode, vs card 51.7)
  95 OK    separate-sciences-ocr/physics-paper-1/L2: 82.76s -> 79.71s (card 3.1s, copy, vs card 27.2)
  96 OK    separate-sciences-ocr/physics-paper-1/L2: 58.79s -> 55.7s (card 3.1s, encode, vs card 30.7)
  97 OK    separate-sciences-ocr/physics-paper-1/L2: 62.09s -> 59.0s (card 3.1s, encode, vs card 28.1)
  98 OK    drama-aqa/noughts-and-crosses/L2: 64.76s -> 61.72s (card 3.1s, copy, vs card 27.2)
  99 OK    drama-aqa/noughts-and-crosses/L2: 80.76s -> 77.72s (card 3.1s, copy, vs card 19.7)
 100 OK    drama-aqa/noughts-and-crosses/L2: 77.25s -> 74.21s (card 3.1s, copy, vs card 27.2)
 101 OK    drama-aqa/noughts-and-crosses/L2: 76.77s -> 73.68s (card 3.1s, encode, vs card 41.7)
 102 OK    film-studies-eduqas/global-and-uk-film/L1: 76.95s -> 73.87s (card 3.1s, encode, vs card 35.2)
 103 OK    film-studies-eduqas/global-and-uk-film/L1: 81.06s -> 78.02s (card 3.1s, copy, vs card 43.1)
 104 OK    film-studies-eduqas/global-and-uk-film/L1: 77.3s -> 74.23s (card 3.1s, copy, vs card 27.8)
 105 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L7: 69.45s -> 66.37s (card 3.1s, encode, vs card 27.3)
 106 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L7: 65.25s -> 62.21s (card 3.1s, copy, vs card 38.4)
 107 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L7: 68.36s -> 65.32s (card 3.1s, copy, vs card 27.1)
 108 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L7: 70.22s -> 67.18s (card 3.1s, copy, vs card 26.0)
 109 OK    science-aqa/biology-paper-2/L10: 74.72s -> 71.63s (card 3.1s, encode, vs card 25.3)
 110 OK    science-aqa/biology-paper-2/L10: 76.49s -> 73.35s (card 3.1s, copy, vs card 16.6)
 111 OK    science-aqa/biology-paper-2/L10: 59.28s -> 56.24s (card 3.1s, copy, vs card 31.0)
 112 OK    science-aqa/biology-paper-2/L10: 74.88s -> 71.8s (card 3.1s, encode, vs card 29.5)
 113 OK    separate-sciences-edexcel/biology-paper-2/L8: 69.8s -> 66.71s (card 3.1s, encode, vs card 68.5)
 114 OK    separate-sciences-edexcel/biology-paper-2/L8: 74.4s -> 71.35s (card 3.1s, copy, vs card 42.6)
